Location					->do a basic heatmap by plugging locations into google maps API
10th District	IL	heatmap			
60004	contains word 'Illinois'	TODO			
60015		map address locations onto heatmap			
60016					
60020					
60022					
60025					
60026					
60030					
60031					
60035					
60040					
60041					
60045					
60046					
60047					
60048					
60050					
60051					
60053					
60056					
60060					
60061					
60062					
60064					
60068					
60069					
60070					
60073					
60081					
60083					
60085					
60087					
60088					
60089					
60090					
60096					
60099					
60714					
